Package,Built
assertthat,3.4.0
backports,3.4.3
base64enc,3.4.0
bdsmatrix,3.4.3
BH,3.4.1
bindr,3.4.0
bindrcpp,3.4.0
bit,3.4.0
bit64,3.4.0
bitops,3.4.0
broom,3.4.3
callr,3.4.0
caret,3.4.3
caTools,3.4.0
cellranger,3.4.0
chron,3.4.3
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.0
colorspace,3.4.0
crayon,3.4.1
curl,3.4.3
CVST,3.4.0
data.table,3.4.2
DBI,3.4.0
dbplyr,3.4.3
ddalpha,3.4.2
DEoptimR,3.4.0
desc,3.4.1
dichromat,3.4.0
digest,3.4.3
dimRed,3.4.0
dplyr,3.4.2
DRR,3.4.3
enc,3.4.2
evaluate,3.4.1
fastmatch,3.4.0
forcats,3.4.0
foreach,3.4.3
Formula,3.4.1
fs,3.4.3
gdata,3.4.0
ggplot2,3.4.0
gh,3.4.1
git2r,3.4.3
glue,3.4.2
gower,3.4.0
gtable,3.4.0
gtools,3.4.0
haven,3.4.3
hexbin,3.4.3
highr,3.4.0
hms,3.4.3
htmltools,3.4.0
httr,3.4.1
ini,3.4.2
inline,3.4.0
ipred,3.4.0
iterators,3.4.3
jsonlite,3.4.0
kernlab,3.4.0
knitr,3.4.3
labeling,3.4.0
lava,3.4.3
lazyeval,3.4.2
lmtest,3.4.0
lubridate,3.4.2
magrittr,3.4.0
markdown,3.4.0
maxLik,3.4.0
mime,3.4.0
miscTools,3.4.0
mnormt,3.4.0
ModelMetrics,3.4.0
modelr,3.4.1
munsell,3.4.0
nanotime,3.4.1
numDeriv,3.4.0
openssl,3.4.2
pillar,3.4.3
pinp,3.4.2
pkgconfig,3.4.0
pkgKitten,3.4.0
plm,3.4.2
plogr,3.4.0
plyr,3.4.0
praise,3.4.0
prodlim,3.4.0
psych,3.4.3
purrr,3.4.2
R6,3.4.0
rbenchmark,3.4.0
RColorBrewer,3.4.0
Rcpp,3.4.3
RcppCCTZ,3.4.1
RcppRoll,3.4.0
readr,3.4.0
readxl,3.4.0
recipes,3.4.3
rematch,3.4.0
rematch2,3.4.1
reprex,3.4.0
reshape,3.4.1
reshape2,3.4.3
rlang,3.4.3
rmarkdown,3.4.2
robustbase,3.4.2
rprojroot,3.4.3
rstudioapi,3.4.1
RUnit,3.4.0
rvest,3.4.0
sandwich,3.4.1
scales,3.4.1
selectr,3.4.0
sfsmisc,3.4.0
SQUAREM,3.4.2
stringi,3.4.2
stringr,3.4.0
styler,3.4.3
testthat,3.4.3
tibble,3.4.1
tidyr,3.4.2
tidyselect,3.4.2
tidyverse,3.4.2
timeDate,3.4.2
usethis,3.4.3
utf8,3.4.3
viridisLite,3.4.0
whisker,3.4.0
withr,3.4.3
xml2,3.4.0
xts,3.4.3
yaml,3.4.3
zoo,3.4.3
